web-scraper-order,web-scraper-start-url,links,links-href,tittle,rating,reviews,price,discount,mrp
1756094000-3,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Baatu Enable Tab (10’1 Display) All-in-One Combo | Parental Control Tablet for Children | Space Grey Tablet with Dual Speakers, 4G Calling + Black Smart Flip Cover + Crystal Clear Display Guard",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM3MzE3MzU5OTI5NzUyOjE3NTYwOTM5OTA6c3BfYnRmX2Jyb3dzZTozMDA2MzIzMjYwNzAyMzI6OjA6Og&url=%2FBaatu-Enable-Parental-Children-Speakers%2Fdp%2FB0FH5Q481X%2Fref%3Dsr_1_33_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY%26dib_tag%3Dse%26qid%3D1756093989%26refinements%3Dp_123%253A110955%26rnid%3D91049095031%26s%3Dcomputers%26sr%3D1-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1&sp_cr=ZAZ,"Baatu Enable Tab (10’1 Display) All-in-One Combo | Parental Control Tablet for Children | Space Grey Tablet with Dual Speakers, 4G Calling + Black Smart Flip Cover + Crystal Clear Display Guard",4,1 rating,8799,-45%,"₹15,999"
1756094007-4,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Redmi Pad Pro 5G |Snapdragon 7s Gen 2|30.7cm(12.1) Tablet|33+ Days Standby| 10000mAh|HyperOS|8GB, 128GB|Quad Speakers |Wi-Fi 6 + 5G |Graphite Grey",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM3MzE3MzU5OTI5NzUyOjE3NTYwOTM5OTA6c3BfYnRmX2Jyb3dzZTozMDA1MzM3NjU2NTQwMzI6OjA6Og&url=%2FRedmi-Pad-Pro-5G-Snapdragon%2Fdp%2FB0D9VLLXWW%2Fref%3Dsr_1_32_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY%26dib_tag%3Dse%26qid%3D1756093989%26refinements%3Dp_123%253A110955%26rnid%3D91049095031%26s%3Dcomputers%26sr%3D1-32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1&sp_cr=ZAZ,"Redmi Pad Pro 5G |Snapdragon 7s Gen 2|30.7cm(12.1) Tablet|33+ Days Standby| 10000mAh|HyperOS|8GB, 128GB|Quad Speakers |Wi-Fi 6 + 5G |Graphite Grey",4.3,354 ratings,23799,-15%,"₹27,999"
1756094013-5,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Chuwi AuPad Android 14 Tablet 10.95‘’, 128GB ROM 8GB LPDDR4, Snapdragon 685 Tablet PC, FHD IPS 2K Display,1TB Expand, Triple Cameras, Widevine L1,7000mAh, 4G LTE/5G WiFi/BT 5.0/GPS, with Case",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MDM3MzE3MzU5OTI5NzUyOjE3NTYwOTM5OTA6c3BfYnRmX2Jyb3dzZTozMDA2MTgwNDkwNjk3MzI6OjA6Og&url=%2FChuwi-Android-Snapdragon-Display-Widevine%2Fdp%2FB0FFGR9M3S%2Fref%3Dsr_1_31_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY%26dib_tag%3Dse%26qid%3D1756093989%26refinements%3Dp_123%253A110955%26rnid%3D91049095031%26s%3Dcomputers%26sr%3D1-31-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1&sp_cr=ZAZ,"Chuwi AuPad Android 14 Tablet 10.95‘’, 128GB ROM 8GB LPDDR4, Snapdragon 685 Tablet PC, FHD IPS 2K Display,1TB Expand, Triple Cameras, Widevine L1,7000mAh, 4G LTE/5G WiFi/BT 5.0/GPS, with Case",4.9,14 ratings,14990,-40%,"₹24,990"
1756094018-6,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 256GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Blue",https://www.amazon.in/Apple-iPad-Air-13%E2%80%B3-chip/dp/B0DZ7X23XL/ref=sr_1_30?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-30,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 256GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Blue",,,"1,01,743",-3%,"₹1,04,900"
1756094024-7,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 512GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",https://www.amazon.in/Apple-iPad-Air-13%E2%80%B3-chip/dp/B0DZ7PPLCH/ref=sr_1_29?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-29,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 512GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",,,"1,09,900",,
1756094030-8,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Mini (6th Generation): with A15 Bionic chip, 21.08 cm (8.3″) Liquid Retina Display, 256GB, Wi-Fi 6 + 5G Cellular, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Purple",https://www.amazon.in/Apple-iPad-Mini-6th-Generation/dp/B09G9G88GD/ref=sr_1_28?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-28,"Apple iPad Mini (6th Generation): with A15 Bionic chip, 21.08 cm (8.3″) Liquid Retina Display, 256GB, Wi-Fi 6 + 5G Cellular, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Purple",4.6,647 ratings,69900,-13%,"₹79,900"
1756094036-9,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 512GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Space Gray",https://www.amazon.in/Apple-iPad-Air-13%E2%80%B3-chip/dp/B0DZ79BL4Y/ref=sr_1_27?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-27,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 512GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Space Gray",,,"1,24,900",,
1756094041-10,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 1TB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Space Gray",https://www.amazon.in/Apple-iPad-Air-13%E2%80%B3-chip/dp/B0DZ788QT9/ref=sr_1_26?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-26,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 1TB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Space Gray",,,"1,44,900",,
1756094048-11,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Space Gray",https://www.amazon.in/Apple-iPad-Air-13%E2%80%B3-chip/dp/B0DZ788BMD/ref=sr_1_25?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-25,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Space Gray",,,94900,,
1756094054-12,https://www.amazon.in/s?rh=n%3A1375458031%2Cp_123%3A110955&dc&qid=1756093647&rnid=91049095031&ref=sr_nr_p_123_0,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 1TB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",https://www.amazon.in/Apple-iPad-Air-13%E2%80%B3-chip/dp/B0DZ79JLV8/ref=sr_1_24?dib=eyJ2IjoiMSJ9.pFfKK1oFw_YFy6VdoCqIG_qomsJv1fPRHEv7i8p_KbIV2CNhO9_A83X4-PYUWxRmyZjpWHhya_peZZxKR4GYe4EPescdJ7JH3GJJe9qQto_4hDMF0e1OGO_pLjhMXDAiTD5xBkcsmwzSTJ0Z0MYxHEXOqn_jPOY_c1ZOb-MnsVO7yxNuneL4Jm3XnZtVRz6t5-kI6BjsZteseoUFkNVSbphegmN93S1yEa4YAs9GUB8ejGNjcMZa7QYI-D09qO0G93SVv8Im2fZKx6Neaek7ovKyJ2u3s8SBDDk-BV_5IGQ.Xt62-obJ03w3oTJkyeUPu-wyLJHcV8tihNKUY2ASlyY&dib_tag=se&qid=1756093989&refinements=p_123%3A110955&rnid=91049095031&s=computers&sr=1-24,"Apple iPad Air 13″ with M3 chip: Built for Apple Intelligence, Liquid Retina Display, 1TB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",,,"1,25,990",-3%,"₹1,29,900"
